matrix.ncol...1..nrow...0.,dura_clus$cluster,pace_clus$cluster,sect_clus$cluster,loud_clus$cluster,pitches_clus$cluster,timbre_clus$cluster
TRAAABD128F429CF47,2,2,1,3,2,2
TRAAAEF128F4273421,1,2,1,3,1,2
TRAAAFD128F92F423A,2,3,1,3,3,2
TRAAARJ128F9320760,1,2,2,3,3,2
TRAABJV128F1460C49,1,3,2,3,2,2
TRAABLR128F423B7E3,3,2,2,3,2,3
TRAABVM128F92CA9DC,1,3,2,3,2,2
TRAACER128F4290F96,2,3,1,3,3,2
TRAACFV128F935E50B,2,3,3,3,1,3
TRAACHN128F1489601,1,3,1,1,3,2
TRAADLH12903CA70EE,2,2,3,1,3,2
TRAADNA128F9331246,1,2,2,3,1,2
TRAADQX128F422B4CF,2,3,3,3,1,1
TRAADYB128F92D7E73,1,2,1,3,2,3
TRAADYI128E078FB38,1,2,1,3,1,3
TRAAENC128F1451DE9,1,2,1,3,2,3
TRAAFMS128F933AB23,1,2,1,2,2,2
TRAAFUJ128F933F42B,2,2,3,3,3,1
TRAAGCZ128F93210FD,1,2,1,2,1,3
TRAAGEC128E079252C,3,2,2,2,2,2
TRAAGGE128F9325E2C,1,3,1,2,3,3
TRAAGHM128EF35CF8E,1,3,1,3,2,3
TRAAGJV128F1464090,2,3,1,3,1,3
TRAAGMJ12903CAD7D4,1,2,2,3,1,3
TRAAGPF12903CE027E,2,2,1,2,2,3
TRAAGPJ128F428CD1B,1,2,1,3,2,3
TRAAGVM128E0784D95,1,2,1,3,1,2
TRAAHEG128E07861C3,2,2,3,1,3,1
TRAAHRF128F92FE234,1,3,2,2,2,3
TRAAHZP12903CA25F4,2,3,3,2,1,1
TRAAIAE128F42AC53D,1,3,2,3,2,3
TRAAIAX128F930531B,1,2,1,1,2,2
TRAAIHL128F92E6DDA,1,2,2,3,2,1
TRAAIII128F427D5D8,1,3,2,2,2,3
TRAAJAC128F148B530,1,3,2,3,2,3
TRAAJEK128F422F55A,2,2,3,3,1,3
TRAAJJA12903CC518A,1,3,2,3,3,3
TRAAJJG128F4284B27,1,3,1,2,2,3
TRAAJMH128E0785407,1,3,2,3,1,3
TRAAJYX128F4255568,1,3,1,3,1,3
TRAAKAS128F4246013,3,2,2,2,2,2
TRAAMES128F42AF068,3,3,2,2,2,3
TRAAMFG128F92FDEA2,2,3,1,2,2,1
TRAAMPA128F92E7D0D,2,2,3,2,3,1
TRAAMYQ128F148B753,2,2,1,3,2,3
TRAANBH128F9345A6C,2,3,3,3,1,2
TRAAOIN128F9303790,2,2,1,1,3,2
TRAAOJI128F1458DCD,1,3,1,3,3,2
TRAAOYG128F9314996,2,3,1,3,2,3
TRAAPCC128F42519A7,1,2,2,3,1,3
TRAAPGF128F1458F8B,3,3,2,3,1,3
TRAAPIV128F1493132,3,3,2,3,2,2
TRAAPPQ128F14961F5,1,2,1,3,3,2
TRAAQBF12903CF796B,2,3,1,2,2,1
TRAAQCK128F92E8C33,1,3,1,2,1,3
TRAAQIH128F428BDEA,2,3,1,3,1,3
TRAAQUC128F9322A82,1,3,2,3,3,2
TRAAQZQ128EF35C51A,1,2,1,3,3,2
TRAARSF12903CD1B12,2,2,3,3,2,3
TRAASFP128F42980BD,1,2,2,3,1,2
TRAASGM128EF34DBB0,1,3,1,3,1,2
TRAASQC128F93480F0,2,3,3,3,3,2
TRAASUZ128F9314950,1,2,1,3,1,2
TRAATIU128F4291A84,1,2,1,3,3,2
TRAATMY128F149562F,3,3,2,3,2,3
TRAATNJ128F42631BA,1,3,2,3,1,2
TRAATPA128F146753C,2,2,3,3,3,2
TRAAUEO128E0780CB9,1,2,1,3,3,2
TRAAUGD128F42734DA,1,2,3,2,1,3
TRAAUMN128F4273561,1,2,2,3,1,2
TRAAUZX128F92F3D53,1,3,2,2,1,3
TRAAVGB12903CFAA99,2,3,1,3,2,3
TRAAVOK12903CC4773,1,3,1,2,2,2
TRAAVOU128F422F292,1,2,2,1,3,2
TRAAVRJ128F92FF90A,2,3,1,3,2,3
TRAAWGY128F4298A09,2,2,2,1,3,2
TRAAWOR128F92DF3C8,2,2,1,3,2,2
TRAAWQD12903CAA968,2,3,3,3,2,3
TRAAXIR128F92D1938,2,2,3,3,2,3
TRAAXMX128F9307699,2,2,3,3,1,3
TRAAXUY128F426BA55,2,3,1,3,2,2
TRAAYPN128F9340DDF,1,2,3,3,2,2
TRAAZBD128F427A97D,1,2,3,1,1,1
TRAAZGC12903CB5DFB,1,3,2,3,1,2
TRAAZKV12903CDDFE0,3,3,2,3,1,2
TRAAZQW128F93430DC,1,3,1,3,1,3
TRABAFJ128F42AF24E,1,2,1,3,1,2
TRABBOP128F931B50D,1,3,1,3,2,2
TRABBXU128F92FEF48,2,2,1,3,1,2
TRABCIX128F4265903,1,2,2,2,1,3
TRABCKL128F423A778,1,2,1,3,3,2
TRABDTV128E0791839,3,3,1,3,3,1
TRABEBP12903C9BA03,1,3,1,3,3,2
TRABEKF128F42765FF,1,3,1,1,3,2
TRABEXK12903CCE19B,1,2,2,2,2,2
TRABFKN12903CAF61B,1,2,3,1,1,2
TRABFZX128F4241355,1,2,1,3,3,2
TRABGHG128F934B27E,2,2,3,3,1,2
TRABGLK128F9338730,1,3,2,3,1,2
TRABGMB12903CF50FE,2,2,1,3,3,3
TRABHBA128F424CF80,1,2,2,3,3,2
TRABHVL128F92EFB0E,1,3,1,1,3,2
TRABHWW128F424E9D2,1,3,1,3,2,3
TRABIPA128F1458F79,3,3,2,3,1,2
TRABIZY128F933C696,2,2,3,1,3,2
TRABJIX128C7196953,1,2,2,3,1,3
TRABJWA128F9309C09,1,3,1,1,2,2
TRABKBS128F42823EC,1,2,3,3,3,2
TRABLGI128F42B867A,2,3,1,3,1,2
TRABLLK128F428FFAF,3,3,2,3,2,2
TRABLMN128E0792687,2,3,1,3,1,2
TRABLQE128F92E5E75,2,2,3,3,1,2
TRABLTP128F930DC6D,1,2,2,3,2,2
TRABLYQ128F429A9F8,1,3,1,3,1,2
TRABMZZ128F4249C60,2,2,3,3,3,2
TRABNET128F14560AC,2,3,2,3,2,3
TRABNEX128F92C9DEA,3,2,2,1,1,2
TRABNLE128EF34B85D,1,2,1,3,1,3
TRABOOL128F426E836,1,3,2,2,1,3
TRABOXX128F92F29EB,2,3,1,3,2,3
